key,count
building,29
landuse,17
highway,17
name,11
addr:street,10
addr:country,10
addr:housenumber,10
addr:city,10
surface,8
addr:postcode,6
tracktype,5
lanes,5
lit,4
source:maxspeed,4
maxspeed,4
zone:traffic,4
natural,4
ref,4
maxspeed:type,4
sidewalk,4
barrier,2
bench,2
bin,2
bus,2
check_date:shelter,2
tactile_paving,2
material,2
shelter,2
layer,2
water,2
man_made,2
amenity,2
check_date,2
public_transport,2
ref:IFOPT,2
local_ref,2
cycleway:both,1
tower:type,1
backrest,1
sidewalk:both:traffic_sign,1
sidewalk:both:oneway,1
sidewalk:both:foot,1
sidewalk:both:bicycle,1
name:etymology:wikidata,1
sport,1
leisure,1
smoothness,1
oneway,1
motor_vehicle,1
cycleway,1
location,1
substance,1
short_name,1
operator,1
alt_name,1
wikidata,1
usage,1
wikipedia,1
fuel:JetA1,1
opening_hours,1
check_date:opening_hours,1
craft,1
fax,1
building:levels,1
website,1
phone,1
leaf_type,1
access,1
type,1
heritage,1
heritage:operator,1
