key,count
highway,106
surface,66
building,48
name,23
service,18
tiger:cfcc,17
addr:housenumber,17
source,17
tiger:name_type,17
tiger:name_base,17
tiger:county,17
addr:state,16
addr:city,16
addr:postcode,16
addr:street,16
amenity,12
smoothness,12
access,12
oneway,11
tiger:reviewed,11
crossing:markings,11
footway,10
lanes,10
tactile_paving,8
cycleway:both,8
crossing,8
ref,7
lit,7
sidewalk,7
website,6
hgv,6
cuisine,6
opening_hours,6
hgv:national_network,6
source:hgv:national_network,6
maxspeed,6
NHS,6
lanes:backward,6
landuse,6
diet:vegetarian,5
phone,5
parking,5
name_1,5
tiger:name_base_1,5
tiger:name_type_1,5
fee,5
indoor_seating,5
outdoor_seating,5
parking:orientation,4
kerb,4
air_conditioning,4
smoking,4
lanes:both_ways,4
diet:halal,4
takeaway,4
brand:wikidata,4
diet:kosher,4
brand,4
traffic_signals:sound,3
button_operated,3
traffic_signals:vibration,3
tiger:name_direction_suffix_1,3
drive_through,3
survey:date,3
crossing:island,3
addr:country,3
diet:vegan,2
turn:lanes:backward,2
lanes:forward,2
barrier,2
direction,2
internet_access,2
opening_hours:drive_through,2
locked,1
official_name,1
enforcement,1
addr:unit,1
payment:debit_cards,1
lane_markings,1
check_date:opening_hours,1
payment:credit_cards,1
tiger:name_direction_prefix_1,1
tunnel,1
turn:lanes:both_ways,1
turn:lanes:forward,1
building:levels,1
bicycle,1
orientation,1
level,1
horse,1
dog,1
motor_vehicle,1
ski,1
vehicle,1
snowmobile,1
wheelchair,1
natural,1
