key,value,count,patch
building,yes,32,kitsap_9.tif
building,retail,10,kitsap_9.tif
building,commercial,1,kitsap_9.tif
building,kiosk,1,kitsap_9.tif
building,industrial,1,kitsap_9.tif
building,office,1,kitsap_9.tif
building,roof,1,kitsap_9.tif
building,hotel,1,kitsap_9.tif
highway,service,53,kitsap_9.tif
highway,crossing,22,kitsap_9.tif
highway,footway,11,kitsap_9.tif
highway,residential,6,kitsap_9.tif
highway,primary,6,kitsap_9.tif
highway,tertiary,3,kitsap_9.tif
highway,secondary,2,kitsap_9.tif
highway,stop,2,kitsap_9.tif
highway,traffic_signals,1,kitsap_9.tif
landuse,retail,5,kitsap_9.tif
landuse,commercial,1,kitsap_9.tif
natural,wood,1,kitsap_9.tif
amenity,parking,6,kitsap_9.tif
amenity,fast_food,4,kitsap_9.tif
amenity,restaurant,2,kitsap_9.tif
barrier,gate,1,kitsap_9.tif
barrier,kerb,1,kitsap_9.tif
